GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,RCPSZFF.id,RCPSZFF.display-label,YEAR.id,FIRM,ESTAB,RCPTOT,PAYANT,PAYQ1T,EMP
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,"Sales, receipts, or revenue size of firms operated the entire year code","Meaning of Sales, receipts, or revenue size of firms operated the entire year code",Year,Total number of firms,Number of establishments,"Revenue ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Paid employees for pay period including March 12 (number)
0100000US,,United States,22,Utilities,001,All firms,2002,6650,17103,398907044,42417830,12018371,663044
0100000US,,United States,22,Utilities,004,Firms operated for the entire year,2002,6195,16648,397115790,42250029,12008076,662085
0100000US,,United States,22,Utilities,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2002,1376,1376,66917,94802,24891,3782
0100000US,,United States,22,Utilities,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2002,1195,1197,195981,49500,11929,3469
0100000US,,United States,22,Utilities,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2002,878,880,312583,75174,17919,3512
0100000US,,United States,22,Utilities,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2002,664,675,468770,105298,25113,3995
0100000US,,United States,22,Utilities,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2002,526,568,820382,180993,42951,5379
0100000US,,United States,22,Utilities,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2002,246,292,900064,160313,39324,4149
0100000US,,United States,22,Utilities,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2002,287,408,2077620,347446,85197,7870
0100000US,,United States,22,Utilities,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2002,400,624,6541634,870184,214224,18352
0100000US,,United States,22,Utilities,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2002,236,537,8144337,947278,229965,19657
0100000US,,United States,22,Utilities,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2002,139,524,9859888,949121,235640,19412
0100000US,,United States,22,Utilities,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2002,82,428,12885593,1077535,278464,19368
0100000US,,United States,22,Utilities,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2002,52,802,18221410,1608373,419112,27730
0100000US,,United States,22,Utilities,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2002,114,8337,336620611,35784012,10383347,525410
0100000US,,United States,22,Utilities,999,Firms not operated for the entire year,2002,455,455,1791254,167801,10295,959
0100000US,,United States,221,Utilities,001,All firms,2002,6650,17103,398907044,42417830,12018371,663044
0100000US,,United States,221,Utilities,004,Firms operated for the entire year,2002,6195,16648,397115790,42250029,12008076,662085
0100000US,,United States,221,Utilities,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2002,1376,1376,66917,94802,24891,3782
0100000US,,United States,221,Utilities,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2002,1195,1197,195981,49500,11929,3469
0100000US,,United States,221,Utilities,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2002,878,880,312583,75174,17919,3512
0100000US,,United States,221,Utilities,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2002,664,675,468770,105298,25113,3995
0100000US,,United States,221,Utilities,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2002,526,568,820382,180993,42951,5379
0100000US,,United States,221,Utilities,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2002,246,292,900064,160313,39324,4149
0100000US,,United States,221,Utilities,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2002,287,408,2077620,347446,85197,7870
0100000US,,United States,221,Utilities,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2002,400,624,6541634,870184,214224,18352
0100000US,,United States,221,Utilities,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2002,236,537,8144337,947278,229965,19657
