GEO.id,Geographic identifier code
GEO.id2,Id2
GEO.display-label,Geographic area name
NAICS.id,2002 NAICS code
NAICS.display-label,Meaning of 2002 NAICS code
RCPSZFF.id,"Sales, receipts, or revenue size of firms operated the entire year code"
RCPSZFF.display-label,"Meaning of Sales, receipts, or revenue size of firms operated the entire year code"
YEAR.id,Year
FIRM,Total number of firms
ESTAB,Number of establishments
RCPTOT,"Revenue ($1,000)"
PAYANT,"Annual payroll ($1,000)"
PAYQ1T,"First-quarter payroll ($1,000)"
EMP,Paid employees for pay period including March 12 (number)
